filename,sf,droid
govdocs_selected\DOC_41\278791.doc,fmt/40,x-fmt/45
govdocs_selected\TEXT_47\192367.text,fmt/40,x-fmt/45
govdocs_selected\XLS_98\644692.xls,fmt/59,fmt/61
govdocs_selected\DOC_83\908606.html,fmt/583,fmt/583; fmt/99
govdocs_selected\HTML_143\558860.html,x-fmt/394,fmt/99; x-fmt/394
govdocs_selected\PDF_1831\272791.pdf,fmt/144,fmt/144; fmt/16
govdocs_selected\PDF_782\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1963\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_53\508563.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_665\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1283\README,x-fmt/111,UNKNOWN
govdocs_selected\SQR_1\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_58\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_66\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_720\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_77\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1555\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1994\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_918\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3119\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1553\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3257\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1838\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2572\594454.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1732\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3014\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1185\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2417\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2965\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2280\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1408\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1400\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2472\README,x-fmt/111,UNKNOWN
govdocs_selected\TMP_9\241639.tmp,x-fmt/111,UNKNOWN
govdocs_selected\MAK_1\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_985\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_954\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2814\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_606\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1303\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1376\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1465\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1920\README,x-fmt/111,UNKNOWN
govdocs_selected\PS_29\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_185\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1119\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_241\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2846\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_705\README,x-fmt/111,UNKNOWN
govdocs_selected\JAVA_10\610628.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_394\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_722\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_818\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_628\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_97\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1528\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1197\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_334\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2344\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_45\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1212\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_618\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3097\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3016\README,x-fmt/111,UNKNOWN
govdocs_selected\SGML_1\606110.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2004\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2328\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_193\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_574\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1978\README,x-fmt/111,UNKNOWN
govdocs_selected\TXT_9\614202.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_411\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2420\README,x-fmt/111,UNKNOWN
govdocs_selected\GZ_2\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_33\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_552\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_517\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_775\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_699\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_108\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_33\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2978\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2348\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1448\README,x-fmt/111,UNKNOWN
govdocs_selected\GIF_9\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2941\README,x-fmt/111,UNKNOWN
govdocs_selected\CSS_1\650313.unk,x-fmt/111,UNKNOWN
govdocs_selected\PS_35\README,x-fmt/111,UNKNOWN
govdocs_selected\DOC_70\README,x-fmt/111,UNKNOWN
govdocs_selected\XML_26\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_515\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_825\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1696\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_337\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2148\README,x-fmt/111,UNKNOWN
govdocs_selected\PS_41\README,x-fmt/111,UNKNOWN
govdocs_selected\JS_1\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_220\README,x-fmt/111,UNKNOWN
govdocs_selected\__1\617678.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2026\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_185\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_43\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2218\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1324\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_626\README,x-fmt/111,UNKNOWN
govdocs_selected\XML_33\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_873\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_3312\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2489\README,x-fmt/111,UNKNOWN
govdocs_selected\XLS_188\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1083\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2788\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1146\README,x-fmt/111,UNKNOWN
govdocs_selected\TEXT_99\145010.text,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1260\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1470\README,x-fmt/111,UNKNOWN
govdocs_selected\TMP_1\265774.tmp,x-fmt/111,UNKNOWN
govdocs_selected\JPG_19\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_34\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_169\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_876\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2702\README,x-fmt/111,UNKNOWN
govdocs_selected\HTML_143\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2764\README,x-fmt/111,UNKNOWN
govdocs_selected\TMP_7\250003.tmp,x-fmt/111,UNKNOWN
govdocs_selected\PDF_2145\README,x-fmt/111,UNKNOWN
govdocs_selected\TXT_5\642585.unk,x-fmt/111,UNKNOWN
govdocs_selected\PDF_446\README,x-fmt/111,UNKNOWN
govdocs_selected\PDF_1773\README,x-fmt/111,UNKNOWN
