"Format Information","Signature Byte Sequences"
"[fmt-1] Broadcast WAVE 0 Generic","52494646{4}57415645*62657874{350}0000"
"[fmt-102] Extensible Hypertext Markup Language 1.0","3C68746D6C20786D6C6E733D22687474703A2F2F7777772E77332E6F72672F313939392F7868746D6C22*3C7469746C653E*3C2F7469746C653E"
"[fmt-103] Extensible Hypertext Markup Language 1.1","3C68746D6C20786D6C6E733D22687474703A2F2F7777772E77332E6F72672F313939392F7868746D6C22*3C7469746C653E*3C2F7469746C653E"
"[fmt-12] Portable Network Graphics 1.1","89504E470D0A1A0A0000000D49484452*69434350"
"[fmt-12] Portable Network Graphics 1.1","89504E470D0A1A0A0000000D49484452*73504C54"
"[fmt-12] Portable Network Graphics 1.1","89504E470D0A1A0A0000000D49484452*73524742"
"[fmt-127] OpenOffice Draw 1.0","504B0304140000000000{20}6D696D65747970656170706C69636174696F6E2F766E642E73756E2E786D6C2E64726177*504B0304140000000000{20}6D6574612E786D6C3C3F786D6C2076657273696F6E3D22312E3022{383}6F66666963653A76657273696F6E3D22312E30223E"
"[fmt-128] OpenOffice Writer 1.0","504B0304140000000000{20}6D696D65747970656170706C69636174696F6E2F766E642E73756E2E786D6C2E777269746572*504B0304140000000000{20}6D6574612E786D6C3C3F786D6C2076657273696F6E3D22312E3022{322}6F66666963653A76657273696F6E3D22312E30223E"
"[fmt-129] OpenOffice Calc 1.0","504B0304140000000000{20}6D696D65747970656170706C69636174696F6E2F766E642E73756E2E786D6C2E63616C63*504B0304140000000000{20}6D6574612E786D6C3C3F786D6C2076657273696F6E3D22312E3022{322}6F66666963653A76657273696F6E3D22312E30223E"
"[fmt-13] Portable Network Graphics 1.2","89504E470D0A1A0A0000000D49484452*69545874"
"[fmt-130] OpenOffice Impress 1.0","504B0304140000000000{20}6D696D65747970656170706C69636174696F6E2F766E642E73756E2E786D6C2E696D7072657373*504B0304140000000000{20}6D6574612E786D6C3C3F786D6C2076657273696F6E3D22312E3022{383}6F66666963653A76657273696F6E3D22312E30223E"
"[fmt-135] OpenDocument Format 1.0","504B0304{26}6D696D65747970656170706C69636174696F6E2F766E642E6F617369732E6F70656E646F63756D656E742E*6F66666963653A76657273696F6E3D22312E30"
